fic,gsubind,datadate,gvkey,curcdm,Share_End,Isin
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
NLD,45301010,2024-12-31,1166,EUR,558.8,NL0000334118
JPN,45202030,2024-12-31,2721,JPY,5161,JP3242800005
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.8,SE0000108649
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
SWE,45201020,2024-12-31,4439,SEK,89.88,SE0000108656
JPN,45202030,2024-12-31,4925,JPY,3309,JP3814000000
JPN,45202030,2024-12-31,4925,JPY,3309,JP3814000000
GBR,35202010,2024-12-31,5180,GBP,13.465,GB00BN7SWP63
GBR,35202010,2024-12-31,5180,GBP,13.465,GB00BN7SWP63
GBR,35202010,2024-12-31,5180,GBP,13.465,GB00BN7SWP63
GBR,35202010,2024-12-31,5180,GBP,13.465,GB00BN7SWP63
GBR,35202010,2024-12-31,5180,GBP,13.465,GB00BN7SWP63
JPN,45203015,2024-12-31,6512,JPY,1575.5,JP3249600002
JPN,45102010,2024-12-31,7652,JPY,13720,JP3733000008
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
DNK,35202010,2024-12-31,8020,DKK,624.2,DK0062498333
JPN,45202030,2024-12-31,9135,JPY,1811.5,JP3973400009
ISR,45203030,2024-12-31,9501,ILS,1.23,IL0010823537
JPN,45203015,2024-12-31,10275,JPY,2072.5,JP3538800008
ISR,35202010,2024-12-31,14538,ILS,81.01,IL0006290147
JPN,45102010,2024-12-31,18467,JPY,2799.5,JP3818000006
JPN,45203015,2024-12-31,19157,JPY,5353,JP3197800000
JPN,45203015,2024-12-31,19157,JPY,5353,JP3197800000
JPN,45203015,2024-12-31,19457,JPY,2269,JP3452000007
JPN,45203010,2024-12-31,23155,JPY,2603,JP3837400005
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
FIN,45201020,2024-12-31,23671,EUR,4.2745,FI0009000681
