Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,USA,35,35201010,19149,ULTRAGENYX PHARMACEUTICAL,90400D108,1503.456,60.144,849.866,560.23,697.865,92.415,42.07,-569.183,2024
A,USD,USA,35,35202010,19154,TVARDI THERAPEUTICS INC,140755307,43.827,0,44.448,7.137,32.805,4.571,6.12,-70.867,2024
A,USD,USA,35,35201010,19205,CAPRICOR THERAPEUTICS INC,14070B309,170.481,0.835,0.616,22.27,49.969,45.582,13.8,-40.467,2024
A,USD,USA,35,35202010,19272,RESONATE BLENDS INC,76090M102,1.854,3.857,0,1.896,0.062,110.401,0.0035,-2.133,2024
I,USD,USA,35,35202010,19412,INTRA-CELLULAR THERAPIES INC,46116X101,1366.912,4.233,12.748,680.852,236.121,106.24,83.52,-74.676,2024
A,USD,CAN,35,35202010,19447,MEDEXUS PHARMACEUTICALS,58410Q203,171.838,36.98,0.198,108.332,1.228,32.258,1.66,2.247,2024
A,USD,USA,35,35201010,19458,CARISMA THERAPEUTICS INC,14216R101,30.458,1.737,0.744,19.632,59.673,41.75,0.4188,-60.477,2024
A,USD,USA,35,35202010,19467,COCRYSTAL PHARMA INC,19188J409,13.456,0.301,1.505,0,12.537,10.174,2.02,-17.504,2024
A,USD,USA,35,35201010,19549,BIOVIE INC,09074F504,25.208,5.761,0.35,0,23.1,61.901,0.4005,-32.121,2024
A,USD,USA,35,35201010,19717,NEUROGENE INC,64135M105,335.73,2.999,9.429,0.925,60.917,14.855,22.86,-75.144,2024
A,USD,USA,35,35202010,19761,HEPION PHARMACEUTICALS INC,426897401,1.614,2.9,0,0,11.847,6.958,0.4701,-13.192,2024
A,USD,ISR,35,35201010,19771,GALMED PHARMACEUTICALS LTD,M47238148,18.5,0,0,0,2.979,1.665,3.19,-7.517,2024
A,USD,USA,35,35201010,19859,AKEBIA THERAPEUTICS INC,00972D105,220.67,9.713,179.016,160.18,37.652,224.849,1.9,-69.41,2024
A,USD,ISR,35,35202010,19988,MEDIWOUND LTD,M68830112,73.496,0.612,14.662,20.222,8.878,10.793,17.8,-30.224,2024
A,USD,USA,35,35203010,19998,MEDPACE HOLDINGS INC,58506Q109,2100.866,23.289,126.234,2109.054,,30.561,332.23,404.386,2024
A,USD,USA,35,35201010,20018,ALDEYRA THERAPEUTICS INC,01438T106,104.607,0.303,15,0,48.225,59.648,4.99,-55.851,2024
A,USD,USA,35,35202010,20040,SCYNEXIS INC,811292200,90.643,14.095,2.175,3.746,26.405,37.974,1.21,-21.288,2024
A,USD,USA,35,35202010,20115,PHIBRO ANIMAL HEALTH CORP,71742Q106,982.184,42.44,488.204,1017.679,29.194,40.504,16.77,2.416,2024
A,USD,USA,35,35103010,20143,CARECLOUD INC,14167R100,71.614,1.597,1.873,110.837,3.781,16.256,3.66,7.851,2024
A,USD,USA,35,35201010,20225,MINERVA NEUROSCIENCES INC,603380205,37.144,0,60,0,11.899,6.993,2.2216,1.439,2024
I,USD,USA,35,35202010,20228,CATALENT INC,148806102,9753,61,4927,4381,17,180.998,56.23,-1043,2024
A,USD,CYM,35,35202010,20233,THERAVANCE BIOPHARMA INC,G8807B106,354.161,10.712,69.442,64.381,37.643,49.471,9.41,-56.418,2024
A,USD,USA,35,35201010,20307,ELICIO THERAPEUTICS INC,28657F103,28.178,0.901,25.139,0,33.656,11.029,5.1,-51.898,2024
A,USD,USA,35,35201010,20645,ARDELYX INC,39697107,435.754,1.562,177.403,333.615,52.317,238.016,5.07,-39.136,2024
A,USD,USA,35,35201010,20649,SYNDAX PHARMACEUTICALS INC,87164F105,724.816,12.596,333.143,23.68,241.647,85.694,13.22,-318.758,2024
A,USD,USA,35,35202010,20659,AMPHASTAR PHARMACEUTICLS INC,03209R103,1577.47,7.038,643.511,731.967,73.914,47.618,37.13,159.519,2024
A,USD,USA,35,35202010,20720,RELMADA THERAPEUTICS INC,75955J402,45.818,0,0,0,46.175,30.174,0.52,-79.979,2024
A,USD,USA,35,35201010,20756,MATINAS BIOPHARMA HLDGS INC,576810303,12.641,0.766,2.128,0,12.19,5.087,0.51,-24.251,2024
A,USD,USA,35,35201010,20898,SOLENO THERAPEUTICS INC,834203309,330.972,0.526,52.3,0,78.568,45.704,44.95,-175.85,2024
I,USD,USA,35,35201010,20943,SAGE THERAPEUTICS INC,78667J108,547.222,1.318,10.518,41.243,225.895,61.356,5.43,-400.666,2024
A,USD,USA,35,35201010,21012,ATARA BIOTHERAPEUTICS INC,46513206,109.098,14.299,70.139,128.94,151.483,5.859,13.31,-85.403,2024
