Active,Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Isin,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Net_Income,Shares_Out,Fyear
A,JPY,JPN,45,45301010,100658,TOKYO ELECTRON LTD,JP3571400005,2625981,0,0,2431568,250017,544131.021,458.1107,2024
A,JPY,JPN,35,35202010,100668,ASTELLAS PHARMA INC,JP3942400007,3339544,282867,654219,1912323,327700,50752.312,1790.3101,2024
A,JPY,JPN,45,45203010,100671,YOKOGAWA ELECTRIC CORP,JP3955000009,718285,2911,31140,562404,32061,52123.962,258.8595,2024
A,JPY,JPN,35,35202010,100707,SHIONOGI & CO LTD,JP3347200002,1535349,3464,18418,438268,108612,170433.229,850.6874,2024
A,JPY,JPN,35,35202010,100718,TAKEDA PHARMACEUTICAL CO LTD,JP3463000004,14248344,548939,3966326,4581551,730200,107931.758,1573.6496,2024
A,JPY,JPN,45,45203010,100721,OKI ELECTRIC INDUSTRY CO LTD,JP3194000000,410965,41390,61612,452457,10975,12479.595,86.7106,2024
A,EUR,BEL,35,35202010,100751,UCB SA,BE0003739530,17347,63,2963,5691,1781,1065,190.042,2024
A,JPY,JPN,45,45203030,100839,CANON MARKETING JAPAN INC,JP3243600008,524591,1469,2034,653919,1248,39315.622,108.908,2024
I,GBP,GBR,45,45102010,100968,KIN AND CARTA PLC,GB0007689002,169.971,0.824,,11.506,,-13.988,,2024
A,GBP,GBR,45,45103010,101201,ELECO PLC,GB0003081246,51.812,0.578,0.882,32.394,2.467,3.334,82.405,2024
A,EUR,FRA,35,35202010,101204,SANOFI,FR0000120578,132798,4470,13436,41081,7394,5496,1253.592,2024
A,GBP,GBR,45,45103010,101210,APTITUDE SOFTWARE GROUP PLC,GB00BJV2F804,114.783,7.707,2.416,70.044,17.658,4.98,56.218,2024
A,USD,CHE,35,35202010,101310,NOVARTIS AG,CH0012005267,102246,8324,22934,50317,10022,11941,1975.089,2024
A,GBP,GBR,45,45103010,101374,PEBBLE BEACH SYSTEMS GROUP,GB0001482891,11.548,1.068,3.676,11.453,4.131,-1.308,124.477,2024
A,JPY,JPN,45,45203010,101452,JEOL LTD,JP3735000006,222486,4987,4297,196695,11978,18688.013,51.1389,2024
A,EUR,BEL,35,35202010,101483,FINANCIERE DE TUBIZE S.A.,BE0003823409,1929.682,41.3,,95.873,,90.104,44.513,2024
